condition,operation_type,n,Integration,GED,SS,Stable
gf,add_node,40,1,0.825,0.9922318026423455,0.99
gf,change_agent,40,1,0.075,0.9999414876103401,0.9958333333333333
gf,change_description,40,1,0.0,0.9952688291668892,0.98125
gf,merge_parallel,40,1,0.275,0.9931806050240993,0.9766666666666667
gf,merge_sequential,40,1,0.05,0.9956490814685821,0.9895833333333334
gf,split_parallel,10,1,0.0,0.993443363904953,1.0
gf,split_sequential,20,1,0.0,0.999641066789627,1.0
tf,add_node,40,0.85,1.2647058823529411,0.9753896436270546,1.0
tf,change_agent,40,1,0.45,0.993788355588913,1.0
tf,change_description,40,1,0.375,0.9875003077089787,1.0
tf,merge_parallel,40,1,2.15,0.9879485115408897,1.0
tf,merge_sequential,40,1,0.375,0.9872936949133873,1.0
tf,split_parallel,10,1,18.0,0.9934433668851852,1.0
tf,split_sequential,20,1,0.0,0.9948271751403809,1.0
